Protein Name	Organism	UniProtKB Accession
Mitochondrial carnitine/acylcarnitine carrier protein (Carnitine/acylcarnitine translocase) (CAC) (CACT) (Solute carrier family 25 member 20)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8HXY2
Acetyl-CoA acetyltransferase, mitochondrial (EC 2.3.1.9) (Acetoacetyl-CoA thiolase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8HXY6
Low affinity immunoglobulin gamma Fc region receptor III-A (IgG Fc receptor III-A) (Fc-gamma RIII-alpha) (Fc-gamma RIII) (Fc-gamma RIIIa) (FcgammaRIIIa) (CD antigen CD16a)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8SPW2
Disintegrin and metalloproteinase domain-containing protein 18 (ADAM 18) (Transmembrane metalloproteinase-like, disintegrin-like, and cysteine-rich protein III) (tMDC III)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q95194
Neuromodulin (Axonal membrane protein GAP-43) (Growth-associated protein 43)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q95K78
Atlastin-2 (EC 3.6.5.-)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q95LN3
Sperm microtubule inner protein 6 (Ciliated bronchial epithelial protein 1) (Spermatid-specific manchette-related protein 1) (Testis development protein NYD-SP22)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q95LU0
Leucine-rich repeat and fibronectin type-III domain-containing protein 2	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q9BE71
Mitochondrial amidoxime reducing component 2 (mARC2) (EC 1.7.-.-) (Molybdenum cofactor sulfurase C-terminal domain-containing protein 2) (MOSC domain-containing protein 2) (Moco sulfurase C-terminal domain-containing protein 2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q9GKW0
Fructose-bisphosphate aldolase C (EC 4.1.2.13) (Brain-type aldolase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q9GKW3
Protein tweety homolog 1 (Volume-regulated anion channel subunit TTYH1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q9MZZ8
Glutathione S-transferase Mu 2 (EC 2.5.1.18) (GST class-mu 2) (GSTM2-2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q9TSM4
Disintegrin and metalloproteinase domain-containing protein 28 (ADAM 28) (EC 3.4.24.-) (Epididymal metalloproteinase-like, disintegrin-like, and cysteine-rich protein II) (eMDC II)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q9XSL6
Protein eyes shut homolog (Epidermal growth factor-like protein 10) (EGF-like protein 10) (Epidermal growth factor-like protein 11) (EGF-like protein 11) (Protein spacemaker homolog)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	A0A2K5V015
PAT complex subunit CCDC47 (Coiled-coil domain-containing protein 47)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P0C204
Ubiquitin-ribosomal protein eL40 fusion protein (Ubiquitin A-52 residue ribosomal protein fusion product 1) [Cleaved into: Ubiquitin; Large ribosomal subunit protein eL40 (60S ribosomal protein L40) (CEP52)]	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P0C273
Apolipoprotein C-III (Apo-CIII) (ApoC-III) (Apolipoprotein C3)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P18659
Eosinophil cationic protein (ECP) (EC 3.1.27.-) (Ribonuclease 3) (RNase 3)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P47779
Sulfotransferase 1A1 (ST1A1) (EC 2.8.2.1) (Aryl sulfotransferase) (Phenol sulfotransferase) (Phenol-sulfating phenol sulfotransferase) (P-PST)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P52846
Dynein light chain 1, cytoplasmic (Dynein light chain LC8-type 1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P61273
NPC intracellular cholesterol transporter 2 (Epididymal secretory protein 14.6) (ESP14.6) (Epididymal secretory protein E1) (Niemann Pick type C2 protein homolog)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P61918
Interleukin-1 alpha (IL-1 alpha) (Hematopoietin-1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P79340
Interleukin-6 (IL-6)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P79341
Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial (EC 1.1.1.41) (Isocitric dehydrogenase subunit alpha) (NAD(+)-specific ICDH subunit alpha)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q28480
Protein BEX1 (Brain-expressed X-linked protein 1 homolog)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q2PG52
Sodium- and chloride-dependent GABA transporter 2 (GAT-2) (Solute carrier family 6 member 13)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q2PG55
Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase Pin1) (PPIase Pin1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R383
NEDD8-activating enzyme E1 regulatory subunit (Amyloid beta precursor protein-binding protein 1, 59 kDa) (APP-BP1) (Amyloid protein-binding protein 1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R3L6
Testis anion transporter 1 (Anion exchange transporter) (Solute carrier family 26 member 8)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R445
Nondiscriminating glutamyl-tRNA synthetase EARS2, mitochondrial (EC 6.1.1.24) (Glutamate--tRNA(Gln) ligase EARS2, mitochondrial) (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS) (Mitochondrial glutamyl-tRNA synthetase) (mtGluRS)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4F1
Ubiquitin-conjugating enzyme E2 N (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme N) (Ubiquitin carrier protein N) (Ubiquitin-protein ligase N)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4I1
Coronin-1A (Coronin-like protein A) (Clipin-A)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4J2
Ribose-phosphate pyrophosphokinase 2 (EC 2.7.6.1) (Phosphoribosyl pyrophosphate synthase II) (PRS-II)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4R7
Ribose-phosphate pyrophosphokinase 1 (EC 2.7.6.1) (Phosphoribosyl pyrophosphate synthase I) (PRS-I)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4U3
Protein phosphatase 1G (EC 3.1.3.16)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4V2
Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4V5
Septin-4	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4X5
Ras-related protein Rab-2A (EC 3.6.5.2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4X6
Isocitrate dehydrogenase [NADP], mitochondrial (IDH) (EC 1.1.1.42) (ICD-M) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R502
Septin-11	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R555
Ubiquitin-conjugating enzyme E2 D3 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme D3) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme D3) (Ubiquitin carrier protein D3) (Ubiquitin-protein ligase D3)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R5N4
Kinesin-like protein KIF3A (Microtubule plus end-directed kinesin motor 3A)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R628
Aquaporin-7 (AQP-7) (Aquaglyceroporin-7)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R691
Lysosomal-associated transmembrane protein 4B	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R6E8
Bisphosphoglycerate mutase (BPGM) (EC 5.4.2.4) (2,3-bisphosphoglycerate mutase, erythrocyte) (2,3-bisphosphoglycerate synthase) (EC 5.4.2.11) (BPG-dependent PGAM)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R6L7
Sestrin-1 (EC 1.11.1.-)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R6P7
Eukaryotic initiation factor 4A-I (eIF-4A-I) (eIF4A-I) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R8K5
Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Methylglyoxal synthase) (EC 4.2.3.3) (Triose-phosphate isomerase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q60HC9
D-3-phosphoglycerate dehydrogenase (3-PGDH) (EC 1.1.1.95) (2-oxoglutarate reductase) (EC 1.1.1.399) (Malate dehydrogenase) (EC 1.1.1.37)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q60HD7
2-oxoglutarate dehydrogenase complex component E1 (E1o) (OGDC-E1) (OGDH-E1) (EC 1.2.4.2) (2-oxoglutarate dehydrogenase, mitochondrial) (Alpha-ketoglutarate dehydrogenase) (Alpha-KGDH-E1) (Thiamine diphosphate (ThDP)-dependent 2-oxoglutarate dehydrogenase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q60HE2
Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q60HH3
DNA dC->dU-editing enzyme APOBEC-3G (EC 3.5.4.38) (Deoxycytidine deaminase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q694C2
E3 ubiquitin-protein ligase RNF220 (EC 2.3.2.27) (RING finger protein 220) (RING-type E3 ubiquitin transferase RNF220)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8HXD5
Frataxin, mitochondrial (Fxn) (EC 1.16.3.1) [Cleaved into: Frataxin intermediate form; Frataxin mature form; Extramitochondrial frataxin]	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8HXX9
Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (MCAD) (EC 1.3.8.7)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8HXY8
IgG receptor FcRn large subunit p51 (FcRn) (IgG Fc fragment receptor transporter alpha chain) (Neonatal Fc receptor)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8SPV9
Protein O-mannose kinase (POMK) (EC 2.7.1.183) (Protein kinase-like protein SgK196) (Sugen kinase 196)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q95JJ0
Inactive polypeptide N-acetylgalactosaminyltransferase-like protein 5 (Polypeptide GalNAc transferase 15) (GalNAc-T15) (pp-GaNTase 15) (Protein-UDP acetylgalactosaminyltransferase 15) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 15)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q95JX4
tRNA (carboxymethyluridine(34)-5-O)-methyltransferase ALKBH8 (EC 2.1.1.229) (Alkylated DNA repair protein alkB homolog 8) (Alpha-ketoglutarate-dependent dioxygenase ALKBH8) (S-adenosyl-L-methionine-dependent tRNA methyltransferase ALKBH8)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q95K79
E3 ubiquitin-protein ligase RNF125 (EC 2.3.2.27) (RING finger protein 125)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q95KF1
Thymidine kinase 2, mitochondrial (EC 2.7.1.21) (2'-deoxyuridine kinase TK2) (EC 2.7.1.74) (Deoxycytidine kinase TK2) (EC 2.7.1.-)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q9N0C5
Glutathione S-transferase Mu 1 (EC 2.5.1.18) (GST class-mu 1) (GSTM1-1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q9TSM5
Sulfotransferase 1C4 (ST1C4) (EC 2.8.2.1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	A0A2K5X3B6
Myeloid differentiation primary response protein MyD88	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	B3Y682
Hemoglobin subunit alpha-A/Q/R/T (Alpha-A/Q/R/T-globin) (Hemoglobin alpha-A/Q/R/T chain)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P21767
Follicle-stimulating hormone receptor (FSH-R) (Follitropin receptor)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P32212
Cytochrome P450 3A8 (EC 1.14.14.1) (CYPIIIA8) (Cytochrome P-450-MK2) (Cytochrome P450-MKNF2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P33268
Alpha-synuclein	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P61142
Disintegrin and metalloproteinase domain-containing protein 5 (Transmembrane metalloproteinase-like, disintegrin-like, and cysteine-rich protein II) (tMDC II)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q28483
Rhodopsin	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q28886
N-alpha-acetyltransferase 20 (EC 2.3.1.254) (Methionine N-acetyltransferase) (N-acetyltransferase 5) (N-terminal acetyltransferase B complex catalytic subunit NAA20) (N-terminal acetyltransferase B complex catalytic subunit NAT5) (NatB complex subunit NAT5) (NatB catalytic subunit)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q2PFM2
Interleukin-2 receptor subunit beta (IL-2 receptor subunit beta) (IL-2R subunit beta) (IL-2RB) (High affinity IL-2 receptor subunit beta) (p70-75) (CD antigen CD122)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q38J85
Glutamate receptor ionotropic, kainate 3 (GluK3) (Glutamate receptor 7) (GluR-7) (GluR7)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q38PU2
Histone H4	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R362
Carboxypeptidase E (CPE) (EC 3.4.17.10) (Carboxypeptidase H) (CPH) (Enkephalin convertase) (Prohormone-processing carboxypeptidase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4M3
Methylsterol monooxygenase 1 (EC 1.14.18.9) (C-4 methylsterol oxidase) (Sterol-C4-methyl oxidase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4Q4
Legumain (EC 3.4.22.34) (Asparaginyl endopeptidase) (Protease, cysteine 1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4T8
Lysosomal cobalamin transport escort protein LMBD1 (LMBD1) (LMBR1 domain-containing protein 1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R5E3
Lactoylglutathione lyase (EC 4.4.1.5) (Aldoketomutase) (Glyoxalase I) (Glx I) (Ketone-aldehyde mutase) (Methylglyoxalase) (S-D-lactoylglutathione methylglyoxal lyase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R5F2
DAZ-associated protein 2 (Deleted in azoospermia-associated protein 2) (Proline-rich transcript in brain protein)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R5H7
Cathepsin B (EC 3.4.22.1) [Cleaved into: Cathepsin B light chain; Cathepsin B heavy chain]	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R5M2
La-related protein 7 (La ribonucleoprotein domain family member 7)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R627
Kinetochore protein NDC80 homolog (Kinetochore protein Hec1) (Kinetochore-associated protein 2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R630
Cytosolic carboxypeptidase 2 (EC 3.4.17.-) (ATP/GTP-binding protein-like 2) (Protein deglutamylase CCP2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R632
Sorbitol dehydrogenase (SDH) (EC 1.1.1.-) (L-iditol 2-dehydrogenase) (EC 1.1.1.14) (Polyol dehydrogenase) (Xylitol dehydrogenase) (XDH) (EC 1.1.1.9)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R639
Hydroxyacylglutathione hydrolase, mitochondrial (EC 3.1.2.6) (Glyoxalase II) (Glx II)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R6C1
Eukaryotic translation initiation factor 3 subunit E (eIF3e) (Eukaryotic translation initiation factor 3 subunit 6) (eIF-3 p48)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R6G8
NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial (EC 7.1.1.2) (Complex I-75kD) (CI-75kD)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R6K9
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4 (EC 3.1.4.11) (Phosphoinositide phospholipase C-delta-4) (Phospholipase C-delta-4) (PLC-delta-4)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R6L3
T-complex protein 1 subunit epsilon (TCP-1-epsilon) (CCT-epsilon)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R6V2
E3 ubiquitin-protein ligase ZNRF4 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase ZNRF4) (Zinc/RING finger protein 4)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R6Y5
Acyl-CoA 6-desaturase (EC 1.14.19.3) (Delta(6) fatty acid desaturase) (D6D) (Delta(6) desaturase) (Delta-6 desaturase) (Fatty acid desaturase 2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R749
mRNA cap guanine-N(7) methyltransferase (EC 2.1.1.56) (RG7MT1) (mRNA (guanine-N(7))-methyltransferase) (mRNA cap methyltransferase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R7K1
Intraflagellar transport protein 56 (Tetratricopeptide repeat protein 26) (TPR repeat protein 26)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R7Z9
Outer dense fiber protein 2 (Cenexin) (Outer dense fiber of sperm tails protein 2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R8C3
DnaJ homolog subfamily C member 2 (Zuotin-related factor 1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R8H2
Ras-related protein Rab-1B (EC 3.6.5.2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R8X3
Calcium-binding and coiled-coil domain-containing protein 2 (Antigen nuclear dot 52 kDa protein) (Nuclear domain 10 protein NDP52) (Nuclear domain 10 protein 52) (Nuclear dot protein 52)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R914
Signal recognition particle subunit SRP54 (EC 3.6.5.4) (Signal recognition particle 54 kDa protein)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R965
Serine palmitoyltransferase 1 (EC 2.3.1.50) (Long chain base biosynthesis protein 1) (LCB 1) (Serine-palmitoyl-CoA transferase 1) (SPT 1) (SPT1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q60HD1
T-cell surface antigen CD2 (CD antigen CD2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q6SZ61
Adenylosuccinate lyase (ADSL) (ASL) (EC 4.3.2.2) (Adenylosuccinase) (ASase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8HXY5
Deleted in azoospermia-like (DAZ-like autosomal) (Deleted in azoospermia-like 1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q95192
Cation channel sperm-associated auxiliary subunit delta (CatSper-delta) (CatSperdelta) (Transmembrane protein 146)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q95JI2
PILR alpha-associated neural protein (PILR-associating neural protein) (Paired immunoglobin-like type 2 receptor-associating neural protein)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q95K74
Optineurin	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q95KA2
Beta-defensin 126 (Defensin, beta 126) (Epididymal secretory protein 13.2) (ESP13.2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q9BEE3
Intermembrane lipid transfer protein VPS13A (Chorea-acanthocytosis protein homolog) (Chorein) (Vacuolar protein sorting-associated protein 13A)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q9BGZ0
Polypeptide N-acetylgalactosaminyltransferase 9 (EC 2.4.1.41) (Polypeptide GalNAc transferase 9) (GalNAc-T9) (pp-GaNTase 9) (Protein-UDP acetylgalactosaminyltransferase 9) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 9)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q9GM01
Tumor necrosis factor receptor superfamily member 19L (Receptor expressed in lymphoid tissues)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q9N092
Albumin	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	A2V9Z4
Potassium channel subfamily U member 1 (Calcium-activated potassium channel subunit alpha-3) (Calcium-activated potassium channel, subfamily M subunit alpha-3) (Slowpoke homolog 3)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	A5LFX5
Aldehyde oxidase 2 (EC 1.2.3.1) (Aldehyde oxidase homolog 3) (Azaheterocycle hydroxylase 2) (EC 1.17.3.-)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	C4NYZ3
Statherin	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P02809
Cholecystokinin (CCK) [Cleaved into: Cholecystokinin-58 (CCK58); Cholecystokinin-58 desnonopeptide ((1-49)-CCK58); Cholecystokinin-39 (CCK39); Cholecystokinin-33 (CCK33); Cholecystokinin-25 (CCK25); Cholecystokinin-18 (CCK18); Cholecystokinin-12 (CCK12); Cholecystokinin-8 (CCK8); Cholecystokinin-7 (CCK7); Cholecystokinin-5 (CCK5)]	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P23362
Syncytin-2 (ERV-FRD provirus ancestral Env polyprotein) (Envelope polyprotein) [Cleaved into: Surface protein (SU); Transmembrane protein (TM)]	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P61556
Interleukin-4 (IL-4) (B-cell stimulatory factor 1) (BSF-1) (Lymphocyte stimulatory factor 1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P79339
Histone H2B type 1-K (H2B K)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q2PFX4
Peroxiredoxin-2 (EC 1.11.1.24) (Thioredoxin-dependent peroxiredoxin 2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q2PFZ3
WD repeat-containing protein 48 (USP1-associated factor 1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R2Z6
Ras-related protein Ral-B (EC 3.6.5.2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R379
Histone-lysine N-methyltransferase SUV39H2 (EC 2.1.1.355) (Suppressor of variegation 3-9 homolog 2) (Su(var)3-9 homolog 2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R3E0
Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial (EC 6.2.1.5) (ATP-specific succinyl-CoA synthetase subunit beta) (A-SCS) (Succinyl-CoA synthetase beta-A chain) (SCS-betaA)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R517
Endoplasmin (EC 3.6.4.-) (Heat shock protein 90 kDa beta member 1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R520
Synapse differentiation-inducing gene protein 1 (SynDIG1) (Dispanin subfamily C member 2) (DSPC2) (Transmembrane protein 90B)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R532
Gamma-aminobutyric acid receptor subunit alpha-1 (GABA(A) receptor subunit alpha-1) (GABAAR subunit alpha-1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R534
Complement C1r subcomponent (EC 3.4.21.41) (Complement component 1 subcomponent r) [Cleaved into: Complement C1r subcomponent heavy chain; Complement C1r subcomponent light chain]	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R577
Voltage-dependent calcium channel gamma-3 subunit (Neuronal voltage-gated calcium channel gamma-3 subunit) (Transmembrane AMPAR regulatory protein gamma-3) (TARP gamma-3)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R589
Adenosylhomocysteinase (AdoHcyase) (EC 3.13.2.1) (S-adenosyl-L-homocysteine hydrolase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R596
Cofilin-1 (Cofilin, non-muscle isoform)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R5C0
ADP-ribosylation factor 1 (EC 3.6.5.2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R5P2
Zinc finger CCCH domain-containing protein 14	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R6F6
Polyribonucleotide 5'-hydroxyl-kinase Clp1 (EC 2.7.1.78) (Polyadenylation factor Clp1) (Polynucleotide kinase Clp1) (Pre-mRNA cleavage complex II protein Clp1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R7R3
6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 4 (6PF-2-K/Fru-2,6-P2ase 4) (PFK/FBPase 4) (6PF-2-K/Fru-2,6-P2ase testis-type isozyme) [Includes: 6-phosphofructo-2-kinase (EC 2.7.1.105); Fructose-2,6-bisphosphatase (EC 3.1.3.46)]	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R8B6
Ubiquitin carboxyl-terminal hydrolase isozyme L1 (UCH-L1) (EC 3.4.19.12) (Ubiquitin thioesterase L1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q60HC8
Phosphoglycerate kinase 1 (EC 2.7.11.1) (EC 2.7.2.3)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q60HD8
Membrane protein MLC1	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q60HE7
Dihydrolipoyl dehydrogenase, mitochondrial (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q60HG3
Alpha-crystallin B chain (Alpha(B)-crystallin)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q60HG8
Methylmalonyl-CoA mutase, mitochondrial (MCM) (EC 5.4.99.2) (Methylmalonyl-CoA isomerase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8HXX1
